subject_id,trial_id,channel,peak_time,peak_phase_interval,emg_processing,torque_peak_definition
Sub17,T01,sEMG: lateral gastrocnemius,0.60937499934375,MSE-TO,rectified_envelope,
Sub17,T01,sEMG: medial gastrocnemius,9.323958336890628,MSE-TO,rectified_envelope,
Sub17,T01,sEMG: soleus,9.473437503453129,MSE-TO,rectified_envelope,
Sub19,T01,Kinetic: left hip adduction torque,11.656770834171876,HS-MSF,,maximum
Sub19,T01,Kinetic: left hip flexion torque,12.315624999687502,MSE-TO,,maximum
Sub19,T01,Kinetic: left knee flexion torque,1.93645833440625,MSE-TO,,maximum
Sub19,T01,Kinetic: left ankle flexion torque,13.030208331125005,HS-MSF,,maximum
Sub19,T01,Kinetic: right hip adduction torque,4.745833331062501,MSE-TO,,maximum
Sub19,T01,Kinetic: right hip flexion torque,2.775000002562501,MWF-HS,,maximum
Sub19,T01,Kinetic: right knee flexion torque,6.702083330046875,MWF-HS,,maximum
Sub19,T01,Kinetic: right ankle flexion torque,6.135416665546876,MSE-TO,,maximum
Sub19,T01,sEMG: tensor fascia lata,13.025520831734378,HS-MSF,rectified_envelope,
Sub19,T01,sEMG: rectus femoris,13.027604164796877,HS-MSF,rectified_envelope,
Sub19,T01,sEMG: vastus medialis,13.163020833187502,MSF-MSE,rectified_envelope,
Sub19,T01,sEMG: semimembranosus,10.422916665656253,MSF-MSE,rectified_envelope,
Sub19,T01,sEMG: upper tibialis anterior,8.984374998187501,HS-MSF,rectified_envelope,
Sub19,T01,sEMG: lower tibialis anterior,8.976562498859376,HS-MSF,rectified_envelope,
Sub19,T01,sEMG: lateral gastrocnemius,13.6822916643125,MSE-TO,rectified_envelope,
Sub19,T01,sEMG: medial gastrocnemius,13.658854165687504,MSE-TO,rectified_envelope,
Sub19,T01,sEMG: soleus,4.797395831375001,MSE-TO,rectified_envelope,
Sub20,T01,Kinetic: left hip adduction torque,3.939062502265625,MSE-TO,,maximum
Sub20,T01,Kinetic: left hip flexion torque,1.7208333363125,MSE-TO,,maximum
Sub20,T01,Kinetic: left knee flexion torque,11.321354173265629,HS-MSF,,maximum
Sub20,T01,Kinetic: left ankle flexion torque,9.631250003078126,TO-MWF,,maximum
Sub20,T01,Kinetic: right hip adduction torque,3.522395832265625,MSF-MSE,,maximum
